Player ID,Player Name,median_pScore,iqr_mean_pScore,total_maps_played,num_appearances
10072733,myucchii,1.5302323235675006,1.5149531191701309,300,36
11734610,Nepijin,1.4813753662610325,1.485485249738326,336,40
4477497,cheewee10,1.4492154292511055,1.410018978716598,119,20
17308009,Hello_Son,1.443917115015838,1.4472323098941824,106,18
15665805,konkawe,1.44077693225659,1.4079833781144935,234,29
10083439,bojii,1.3346790047315091,1.3462926284280552,106,15
8534840,DawnX,1.3274465061780358,1.3460766990356168,91,11
13385865,Reyi,1.3263769123140912,1.3086888641254313,339,37
13390529,-Aishiteru-,1.3138265926894737,1.3307219239242767,172,22
9169747,Nathanial,1.3115621312982462,1.3034574484580141,172,21
11313227,Quotient,1.2889739244478364,1.2545677307745655,275,31
27762510,Mill1424,1.285765517102171,1.3091575163370983,52,8
14009758,TriDoanGaming,1.2822633682759872,1.2882474314063341,129,15
9530019,Lothus,1.2813816091042127,1.2491389158082524,160,25
15806513,jkzu123,1.278148797193299,1.2566434978637608,132,18
8581031,Poca,1.2703889861294044,1.282172637801571,120,24
4084853,xxxxxx2800,1.2690082521970008,1.2646426129628632,160,20
2288363,SillyFangirl,1.2684157267566656,1.2474313386799254,269,34
11585213,Dystire,1.2637664090145506,1.2553620616737098,102,14
11716111,Swarmsii,1.2592031590404975,1.2533823252331013,73,14
12046267,--Pavin--,1.2458371472112384,1.2349124943326137,339,39
18271627,grillroasted,1.2420000708502212,1.2388980353134371,280,26
17115114,koshepen,1.239683968369042,1.256846371376057,76,11
18121419,lyvet,1.2375914790395939,1.184975590008827,95,13
23528661,henryalexbr,1.2308279382567213,1.2116023250690902,102,16
2071008,yz1155,1.2286082198779817,1.2207227455785352,77,14
11898245,riftoyu Wife,1.2238950259150778,1.2031451976246677,96,14
12452131,gaesol,1.22161385486726,1.2121402727327608,164,19
27552902,[GB]ParasolTree,1.2202428831854388,1.177567200692977,238,21
25588443,Banned or Unavailable,1.2167937100885329,1.2192468918660215,47,10
20360332,bambi fnf,1.2160420715388014,1.2199097687191287,87,11
7616811,Toaph Daddy,1.214454693144378,1.2725620298336275,50,11
13601876,Orost,1.2094775716597241,1.196063873721595,44,10
11488604,CrewK,1.2057557878125,1.2045603137993448,138,20
10879600,HowToPlayLN,1.1958495814202852,1.2145055672028915,108,12
14931745,[LS]Icetify,1.1951603730939864,1.1703422218460688,102,15
10344857,Naaaad,1.1936400404963652,1.2114805781275977,92,13
21207265,oyama mahiro,1.1931815566914294,1.1939211586720515,70,10
29379793,klobuck,1.192994969727725,1.163403511403222,64,11
5183940,2fast,1.1908033310567168,1.1850398493354142,70,11
17152485,dendro_,1.1867174059183436,1.206976084897791,51,8
6114633,[GS]DaZeRo5,1.1839808009298194,1.1468036643197288,45,8
12942073,Miyes,1.179659519489455,1.1641879429625612,127,14
10702235,[Crz]Caicium,1.1786109202914477,1.1535386371613872,124,16
18309106,rezored,1.1730799090351878,1.1725788939504602,205,31
15098503,yoke mao,1.171379312618731,1.1258366451291202,102,15
20051971,vegetagamerbr34,1.1698424961508305,1.16721962493416,141,27
26140861,Scitra,1.167310780529788,1.105243836085305,62,12
12689667,[Albert],1.1651330081317481,1.1489136126326978,137,18
12489832,TingMomentum,1.1648238849403123,1.1808139472832309,171,24
10333739,[Crz]sunnyxxy,1.1648139341208368,1.1470717530246548,230,26
13821222,Lott,1.1642040564510021,1.1405415752151609,133,18
2288341,Pope Gadget,1.1616976311162683,1.1220311436790036,85,17
19862784,Chicken Sammy,1.1602418921892146,1.1650750838985937,62,10
5691061,Amerom,1.1473244300284184,1.1173073821065154,140,21
23248427,-Veloce-,1.1463253059831349,1.1691910597225148,166,19
14892447,JayLye,1.1442803941979958,1.1561374722280664,208,33
16407268,_dev_,1.143689313978912,1.1504380906579235,103,21
3262821,[SPNG] Sim0,1.1428446500297085,1.052763401997586,39,8
25311011,Stereotype,1.1384908621131542,1.0942197366123236,48,12
13769101,Netroo,1.1373649106172434,1.1332655266468243,88,15
15926730,PeachMarrow,1.1337599672565317,1.1221134408063196,107,22
15179858,Tonels,1.1330163531913993,1.131153305821022,119,16
24776314,Plana_,1.1323140299157186,1.1969400217355741,55,12
16277321,[GB]nyasun,1.132130447900898,1.1666337651753422,151,17
11236829,Lenn,1.1305761190088246,1.133776458938486,42,10
11517895,LivelyPeninsula,1.1292343398443128,1.1125499205894505,285,51
6117525,ruka,1.1279253925920585,1.1104354430275118,84,17
